,image,locus,locus_subtype,feature_type_name,feature_subtype_name,notes
0,image: locus_17002.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a series of evenly spaced furrows that may indicate agricultural activities. There are faint indications of rectangular structures, suggesting the presence of residential or domestic architecture. Variations in texture might denote differences in land use or terrain elevation."
1,image: locus_17041.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image displays winding and linear features that are consistent with possible canal structures. Some indistinct rectangular patterns suggest ceremonial or communal areas. The patterns are faint, making precise classification challenging, hence the lower confidence for features."
2,image: locus_15614.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows an area with a mix of vegetated and clearer regions. There appears to be a linear structure consistent with boundaries or pathways typical of a small farm setting. The presence of a rectilinear shape suggests domestic buildings, but the clarity is moderate, making identification less certain."
3,image: locus_11801.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Stone faced contour terraces(3 - Medium Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a meandering structure that could represent a canal or water channel cutting through a landscape with varying elevations. The features are not distinctly structured, suggesting natural or minimally modified pathways rather than highly organized architectural features. There seems to be a flat area adjacent to the linear structure that might indicate a communal or open space."
4,image: locus_27950.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image shows a circular feature that resembles a corral complex. The surrounding area appears to have uneven terrain with visible paths, suggesting animal movement. The defined boundary is characteristic of a corral, supported by the curved wall-like features observed on the top side."
5,image: locus_7700.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows several closely packed circular and irregularly shaped enclosures, possibly used for livestock, indicating a corral complex. There are hints of smaller structures that could be connected to domestic use, suggesting a potential residential aspect."
6,image: locus_21134.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Segmented terracing(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows patterns resembling furrowed crop fields, indicating agricultural activity. The visibility is limited, making it challenging to distinguish specific structures, but there may be hints of small-scale building remnants possibly used in domestic contexts."
7,image: locus_11705.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(3 - Medium Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a distinct rectangular structure indicative of a corral, with noticeable straight walls. The surrounding area appears to contain sparse vegetation, which is consistent with grazing land commonly associated with corrals. Additional smaller structures or divisions may be integrated within the corral complex, suggesting adaptations for different livestock or functional purposes."
8,image: locus_12871.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a complex of enclosures likely used for livestock. The layout suggests multiple interconnected corrals with visible boundary outlines, indicating significant space allocation for animal management."
9,image: locus_18099.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Corral(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a series of well-defined stone-faced terraces on the left, indicating systematic agricultural use. In the center-right are circular structures which may be associated with public ceremonial activities, though this is less certain. The topography suggests erosion patterns that might indicate historical water management practices."
10,image: locus_12138.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: A solitary, possibly oval-shaped structure appears centered in the image, resembling a corral. The surrounding area is relatively featureless, with uniform terrain suggesting it was used for grazing or similar activities. The structure’s isolation and the distinct shape indicate a potential for a fenced or enclosed space."
11,image: locus_9127.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows circular and possibly enclosed structures suggestive of a corral. The central area appears to be more densely compacted than the surroundings, which might indicate animal gathering areas. The presence of pathways leading to this area supports the classification."
12,image: locus_7616.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows a small, isolated structure with faint boundaries visible amidst a sparse landscape. Surrounding areas appear rugged with a lack of distinct agricultural features or terracing. The structure's remote nature suggests a potentially domestic use, possibly related to grazing or isolated habitation."
